Iteration,Discriminator Loss,Generator Loss
2520,1.339392,0.636356
2530,1.347410,0.639937
2540,1.351298,0.657688
2550,1.353172,0.638744
2560,1.356519,0.616396
2570,1.350214,0.622963
2580,1.357295,0.644141
2590,1.358978,0.615420
2600,1.326243,0.647173
2610,1.328715,0.555771
2620,1.364727,0.635776
2630,1.360502,0.685428
2640,1.377198,0.624363
2650,1.359398,0.677987
2660,1.356160,0.668980
2670,1.348435,0.675275
2680,1.344593,0.628580
2690,1.355058,0.643726
2700,1.346560,0.626248
2710,1.352154,0.622764
2720,1.346727,0.626073
2730,1.355075,0.665181
2740,1.319477,0.593977
2750,1.346507,0.584915
2760,1.335407,0.601256
2770,1.355837,0.680908
2780,1.325184,0.595141
2790,1.326791,0.765258
2800,1.345644,0.590172
2810,1.341759,0.647030
2820,1.303928,0.587012
2830,1.356082,0.616389
2840,1.359062,0.633945
2850,1.348571,0.677224
2860,1.326514,0.588916
2870,1.350313,0.663582
2880,1.346060,0.658396
2890,1.336120,0.605858
2900,1.332425,0.716254
2910,1.339072,0.632139
2920,1.338786,0.581772
2930,1.352898,0.655212
2940,1.343230,0.656640
2950,1.345593,0.824710
2960,1.347009,0.664727
2970,1.344351,0.628702
2980,1.352169,0.663413
2990,1.338736,0.607226
3000,1.356909,0.646442
3010,1.347263,0.621313
3020,1.338574,0.808792
3030,1.344611,0.536138
3040,1.349752,0.654157
3050,1.357793,0.655028
3060,1.343652,0.660150
3070,1.334068,0.582825
3080,1.323906,0.639660
3090,1.359332,0.634151
3100,1.353813,0.695986
3110,1.338129,0.726143
3120,1.349529,0.643113
3130,1.345640,0.697394
3140,1.349598,0.663543
3150,1.363317,0.624301
3160,1.360745,0.625880
3170,1.352407,0.856376
3180,1.349966,0.616399
3190,1.359434,0.631368
3200,1.319577,0.697605
3210,1.354352,0.610520
3220,1.342126,0.635704
3230,1.344193,0.627198
3240,1.338032,0.649345
3250,1.351823,0.570787
3260,1.301957,0.801107
3270,1.341491,0.685084
3280,1.340586,0.592487
3290,1.350662,0.783628
3300,1.353760,0.817205
3310,1.329371,0.574665
3320,1.337886,0.659994
3330,1.355863,0.646402
3340,1.331457,0.702311
3350,1.356262,0.671214
3360,1.339129,0.614008
3370,1.350996,0.634233
3380,1.356104,0.652208
3390,1.358454,0.664808
3400,1.363562,0.669238
3410,1.337841,0.661885
3420,1.337087,0.625725
3430,1.353233,0.668215
3440,1.355561,0.618922
3450,1.325028,0.645184
3460,1.364424,0.635732
3470,1.348455,0.708610
3480,1.350750,0.580214
3490,1.303359,0.589777
3500,1.339637,0.620311
3510,1.356068,0.635862
3520,1.341792,0.656443
3530,1.326250,0.714388
3540,1.343897,0.540333
3550,1.333134,0.736135
3560,1.349987,0.615026
3570,1.362965,0.600775
3580,1.342958,0.612295
3590,1.353491,0.819551
3600,1.362336,0.598118
3610,1.360068,0.632748
3620,1.350014,0.609540
3630,1.352059,0.631682
3640,1.348965,0.649029
3650,1.342836,0.740567
3660,1.331891,0.661320
3670,1.354572,0.612755
3680,1.326966,0.603212
3690,1.354151,0.672885
3700,1.355984,0.600028
3710,1.356086,0.749424
3720,1.337528,0.624047
3730,1.326434,0.594550
3740,1.332830,0.661783
3750,1.338402,0.681858
3760,1.342025,0.694133
3770,1.345175,0.649655
3780,1.326325,0.585736
3790,1.333039,0.589488
3800,1.341002,0.694830
